identifiant_de_document,reference_document,date_mutation,nature_mutation,valeur_fonciere,no_voie,btq,type_de_voie,code_voie,voie,code_postal,commune,code_departement,code_commune,prefixe_de_section,section,no_plan,no_volume,lot1,surface_carrez_lot1,lot2,surface_carrez_lot2,lot3,surface_carrez_lot3,lot4,surface_carrez_lot4,lot5,surface_carrez_lot5,nombre_de_lots,code_type_local,type_local,identifiant_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain
,,,,1600000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,285.0,10.0,,,460.0
,,,,840000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,2.0,,,37.0,3.0,,,360.0
,,,,840000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,4.0,,,13.0,0.0,,,360.0
,,,,840000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,2.0,,,32.0,3.0,,,360.0
,,,,840000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,2.0,,,27.0,2.0,,,360.0
,,,,840000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,360.0
,,,,455000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,40.0,2.0,,,66.0
,,,,1320000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,105.0,5.0,,,337.0
,,,,1320000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,20.0,0.0,,,337.0
,,,,510000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,65.0,4.0,,,185.0
,,,,580000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,75.0,4.0,,,324.0
,,,,1323000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,220.0,6.0,,,146.0
,,,,1323000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,220.0,6.0,,,805.0
,,,,855000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,133.0,6.0,,,246.0
,,,,854000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,95.0,4.0,,,225.0
,,,,694000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,106.0,5.0,,,131.0
,,,,1872500.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,160.0,7.0,,,500.0
,,,,1872500.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,500.0
,,,,1872500.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,671.0
,,,,1872500.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,160.0,7.0,,,671.0
,,,,575000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,125.0,6.0,,,542.0
,,,,1590800.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,202.0,6.0,,,500.0
,,,,1590800.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,202.0,6.0,,,1055.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,41.0,2.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,37.0,2.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,28.0,1.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,43.0,2.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,36.0,2.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,25.0,1.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,52.0,3.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,4.0,,,0.0,0.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,28.0,1.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,36.0,2.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,43.0,2.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,41.0,2.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,25.0,1.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,37.0,2.0,,,835.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,4.0,,,0.0,0.0,,,346.0
,,,,3500000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,52.0,3.0,,,835.0
,,,,890000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,133.0,6.0,,,410.0
,,,,1130000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,183.0,8.0,,,400.0
,,,,715000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,94.0,5.0,,,329.0
,,,,650000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,110.0,3.0,,,436.0
,,,,995000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,88.0,4.0,,,531.0
,,,,620000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,116.0,5.0,,,145.0
,,,,400000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,402.0
,,,,650000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,71.0,3.0,,,299.0
,,,,1570000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,280.0,8.0,,,477.0
,,,,1570000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,280.0,8.0,,,1083.0
,,,,244868.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,62.0,3.0,,,233.0
,,,,646000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,95.0,4.0,,,378.0
,,,,646000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,37.0,2.0,,,378.0
,,,,520000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,82.0,4.0,,,277.0
,,,,453000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,2.0,,,100.0,3.0,,,468.0
,,,,453000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,2.0,,,54.0,2.0,,,468.0
,,,,453000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,4.0,,,50.0,0.0,,,468.0
,,,,530000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,76.0,4.0,,,145.0
,,,,550000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,109.0,4.0,,,352.0
,,,,525000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,69.0,4.0,,,373.0
