property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
1250200,44,AV,DU PRESIDENT WILSON,93100,MONTREUIL,93,Appartement,43,2,178,2022
180000,12,ALL,CAPITAINE LELIEVRE,93270,SEVRAN,93,Maison,56,3,450,2022
180000,12,ALL,CAPITAINE LELIEVRE,93270,SEVRAN,93,Dépendance,0,0,450,2022
428000,23,RUE,JOSEPH DARRIET,93150,LE BLANC-MESNIL,93,Maison,123,5,568,2022
428000,23,RUE,JOSEPH DARRIET,93150,LE BLANC-MESNIL,93,Dépendance,0,0,568,2022
359000,79,BD,CHARLES VAILLANT,93290,TREMBLAY-EN-FRANCE,93,Maison,85,4,464,2022
227000,15,RUE,HONORE BERTIN,93170,BAGNOLET,93,Appartement,20,1,90,2022
227000,15,RUE,HONORE BERTIN,93170,BAGNOLET,93,Appartement,40,2,90,2022
490370,29,VLA,BRAZZA,93230,ROMAINVILLE,93,Maison,53,2,58,2022
370000,1,RUE,LOUIS BLERIOT,93150,LE BLANC-MESNIL,93,Maison,85,5,437,2022
397500,85,BD,CHARLES DE GAULLE,93380,PIERREFITTE-SUR-SEINE,93,Maison,129,8,567,2022
390000,20,RUE,DU CHEVALIER DE LA BARRE,93200,SAINT-DENIS,93,Dépendance,0,0,288,2022
390000,20,RUE,DU CHEVALIER DE LA BARRE,93200,SAINT-DENIS,93,Maison,114,4,288,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,35,2,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,72,3,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,58,3,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,39,2,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,54,3,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Local industriel. commercial ou assimilé,21,0,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,25,1,198,2022
750000,24,AV,ALBERT SARRAUT,93290,TREMBLAY-EN-FRANCE,93,Appartement,44,2,198,2022
380000,7,RUE,DES GROSEILLIERS,93460,GOURNAY SUR MARNE,93,Maison,50,3,448,2022
325000,10,AV,TURGOT,93330,NEUILLY-SUR-MARNE,93,Maison,72,5,420,2022
325000,10,AV,TURGOT,93330,NEUILLY-SUR-MARNE,93,Dépendance,0,0,420,2022
278000,13,ALL,CAPITAINE LELIEVRE,93270,SEVRAN,93,Dépendance,0,0,234,2022
278000,13,ALL,CAPITAINE LELIEVRE,93270,SEVRAN,93,Maison,90,5,234,2022
315000,13,RUE,DES ABRICOTIERS,93700,DRANCY,93,Maison,60,2,290,2022
315000,13,RUE,DES ABRICOTIERS,93700,DRANCY,93,Maison,55,3,290,2022
190000,83,PAS,DES ROSES,93300,AUBERVILLIERS,93,Maison,36,2,75,2022
225000,23,RUE,DE DIJON,93600,AULNAY SOUS BOIS,93,Maison,40,3,253,2022
225000,23,RUE,DE DIJON,93600,AULNAY SOUS BOIS,93,Dépendance,0,0,253,2022
350000,40,RUE,HENRI LANGLOIS,93700,DRANCY,93,Maison,80,4,339,2022
315000,74,RUE,DE LA TOUR D AUVERGNE,93700,DRANCY,93,Maison,72,4,470,2022
345000,32,AV,FRANKLIN,93290,TREMBLAY-EN-FRANCE,93,Maison,100,4,408,2022
525000,82,RUE,DES RIGONDES,93100,MONTREUIL,93,Maison,71,4,370,2022
2700000,3,RUE,BERANGER,93500,PANTIN,93,Local industriel. commercial ou assimilé,598,0,493,2022
650000,11,RUE,DE LA FERME,93290,TREMBLAY-EN-FRANCE,93,Maison,131,4,1153,2022
305850,15,RUE,DU QUATRE SEPTEMBRE,93600,AULNAY SOUS BOIS,93,Maison,65,4,436,2022
