transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
11/01/2022,Vente,305000,77630,ARBONNE-LA-FORET,77,6,1,Maison,74,4,504
07/01/2022,Vente,110000,77176,SAVIGNY-LE-TEMPLE,77,445,3,Dépendance,0,0,294
07/01/2022,Vente,110000,77176,SAVIGNY-LE-TEMPLE,77,445,3,Dépendance,0,0,600
07/01/2022,Vente,310000,77930,CELY EN BIERE,77,65,1,Maison,122,5,186
04/01/2022,Vente,260000,77140,SAINT-PIERRE-LES-NEMOURS,77,431,1,Maison,75,4,682
06/01/2022,Vente,225000,77240,SEINE-PORT,77,447,1,Maison,90,4,99
10/01/2022,Vente,477519,77380,COMBS LA VILLE,77,122,1,Maison,14,1,3914
10/01/2022,Vente,477519,77380,COMBS LA VILLE,77,122,1,Maison,123,5,3914
11/01/2022,Vente,320000,77127,LIEUSAINT,77,251,1,Maison,110,4,250
04/01/2022,Vente,350000,77340,PONTAULT COMBAULT,77,373,1,Maison,120,6,421
12/01/2022,Vente,358300,77350,LE MEE SUR SEINE,77,285,1,Maison,111,5,626
10/01/2022,Vente,315000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,1,Maison,112,4,360
12/01/2022,Vente,378098,77590,CHARTRETTES,77,96,1,Maison,100,5,351
10/01/2022,Vente,811000,77810,THOMERY,77,463,1,Maison,170,5,949
06/01/2022,Vente,275000,77176,SAVIGNY-LE-TEMPLE,77,445,1,Maison,97,5,226
06/01/2022,Vente,338000,77176,SAVIGNY-LE-TEMPLE,77,445,1,Maison,132,8,539
07/01/2022,Vente,388000,77135,PONTCARRE,77,374,1,Maison,138,7,290
07/01/2022,Vente,316000,77170,SERVON,77,450,3,Dépendance,0,0,440
07/01/2022,Vente,316000,77170,SERVON,77,450,1,Maison,70,4,440
11/01/2022,Vente,942747,77127,LIEUSAINT,77,251,4,Local industriel. commercial ou assimilé,20000,0,6192
06/01/2022,Vente,270000,77550,REAU,77,384,3,Dépendance,0,0,5500
06/01/2022,Vente,270000,77550,REAU,77,384,3,Dépendance,0,0,90
06/01/2022,Vente,270000,77550,REAU,77,384,1,Maison,220,7,241
12/01/2022,Vente,285000,77176,SAVIGNY-LE-TEMPLE,77,445,1,Maison,124,5,499
07/01/2022,Vente,29310,77140,NEMOURS,77,333,1,Maison,25,2,977
06/01/2022,Vente,769000,77550,REAU,77,384,1,Maison,55,4,12387
06/01/2022,Vente,769000,77550,REAU,77,384,1,Maison,70,4,12387
06/01/2022,Vente,769000,77550,REAU,77,384,1,Maison,220,7,12387
06/01/2022,Vente,769000,77550,REAU,77,384,1,Maison,298,14,12387
06/01/2022,Vente,650000,77590,CHARTRETTES,77,96,1,Maison,30,2,823
12/01/2022,Vente,217000,77950,RUBELLES,77,394,1,Maison,64,4,300
14/01/2022,Vente,175000,77000,ROCHETTE(LA),77,389,1,Maison,62,3,479
14/01/2022,Vente,328700,77310,BOISSISE-LE-ROI,77,40,1,Maison,86,4,500
